Run #1	Run #1	Run #1	Run #1
Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
25,250	0,34	0,95	0,44
25,300	0,39	0,94	-0,36
25,350	0,43	0,91	-0,46
25,400	0,48	0,89	-0,86
25,450	0,52	0,82	-1,68
25,500	0,56	0,73	-1,97
25,550	0,60	0,63	-2,34
25,600	0,62	0,49	-2,99
25,650	0,65	0,33	-3,21
25,700	0,66	0,17	-3,18
25,750	0,66	0,01	-3,22
25,800	0,66	-0,15	-3,15
25,850	0,65	-0,31	-3,20
25,900	0,63	-0,47	-3,04
25,950	0,60	-0,61	-2,44
26,000	0,57	-0,71	-2,00
26,050	0,53	-0,81	-1,70
26,100	0,49	-0,88	-0,95
26,150	0,44	-0,90	-0,50
26,200	0,40	-0,93	-0,43
26,250	0,35	-0,95	0,47
26,300	0,30	-0,89	1,28
26,350	0,26	-0,82	1,81
26,400	0,22	-0,71	2,68
26,450	0,19	-0,55	3,06
26,500	0,16	-0,40	3,07
26,550	0,15	-0,25	3,08
26,600	0,14	-0,09	3,06
26,650	0,14	0,06	3,06
26,700	0,14	0,21	3,07
26,750	0,16	0,37	3,07
26,800	0,18	0,52	2,93
26,850	0,21	0,66	2,80
26,900	0,25	0,80	2,25
26,950	0,29	0,89	1,40
27,000	0,34	0,94	0,50
27,050	0,39	0,94	-0,36
27,100	0,43	0,90	-0,41
27,150	0,48	0,89	-0,81
27,200	0,52	0,82	-1,65
27,250	0,56	0,73	-1,88
27,300	0,59	0,63	-2,29
27,350	0,62	0,50	-2,99
27,400	0,64	0,34	-3,18
27,450	0,66	0,18	-3,11
27,500	0,66	0,03	-3,20
27,550	0,66	-0,14	-3,19
27,600	0,65	-0,29	-3,18
27,650	0,63	-0,45	-3,04
27,700	0,60	-0,60	-2,49
27,750	0,57	-0,70	-2,00
27,800	0,53	-0,80	-1,71
27,850	0,49	-0,87	-1,18
27,900	0,44	-0,92	-0,51
27,950	0,40	-0,93	-0,10
28,000	0,35	-0,93	0,37
28,050	0,30	-0,89	0,99
28,100	0,26	-0,83	1,75
28,150	0,22	-0,71	2,66
28,200	0,19	-0,56	3,02
28,250	0,17	-0,41	3,02
28,300	0,15	-0,26	3,09
28,350	0,14	-0,10	3,06
28,400	0,14	0,05	3,02
28,450	0,15	0,20	3,07
28,500	0,16	0,36	3,07
28,550	0,18	0,51	2,91
28,600	0,21	0,65	2,80
28,650	0,25	0,79	2,29
28,700	0,29	0,88	1,47
28,750	0,33	0,93	0,53
28,800	0,38	0,93	-0,31
28,850	0,43	0,90	-0,36
28,900	0,47	0,89	-0,78
28,950	0,52	0,82	-1,58
29,000	0,55	0,73	-1,85
29,050	0,59	0,64	-2,25
29,100	0,62	0,51	-2,94
29,150	0,64	0,35	-3,16
29,200	0,65	0,19	-3,11
29,250	0,66	0,04	-3,18
29,300	0,66	-0,12	-3,15
29,350	0,65	-0,28	-3,16
29,400	0,63	-0,44	-3,04
29,450	0,60	-0,58	-2,51
29,500	0,57	-0,69	-2,03
